Prefixes,Suffixes,Compounds,Compounds split in 2,Familiar Words (DaleChall),
ethmo-,-mycete,hopscotch,hop-scotch,choke,
ethn-,-mycin,horseback,horse-back,choose,
ethno-,-n,horsefly,horse-fly,chop,
etho-,-nab,horselaugh,horse-laugh,chop-suey,
etio-,-nado,horseman,horse-man,chorus,
eu-,-naissance,horseplay,horse-play,chose,
eur-,-nakinra,horsepower,horse-power,chosen,
Euro-,-nap,horseradish,horse-radish,church,
eury-,-nasty,horseshoe,horse-shoe,churn,
even-,-naut,hotbed,hot-bed,cigarette,
ex-,-navir,hotcake,hot-cake,circle,
exa-,-nd,hothead,hot-head,circus,
exbi-,-nema,hotheaded,hot-headed,citizen,
excito-,-neme,hothouse,hot-house,city,
exo-,-nephry,hotline,hot-line,clap,
extra-,-nercept,hotrod,hot-rod,class,
extro-,-ness,hotshot,hot-shot,classroom,
f-,-nesse,hourglass,hour-glass,claw,
facio-,-netant,houseboat,house-boat,clay,
fascio-,-nicline,housebreaking,house-breaking,clean,
fem-,-nidazole,housecoat,house-coat,cleanser,
femoro-,-nidipine,housefly,house-fly,clear,
femto-,-nik,household,house-hold,clerk,
Fenno-,-nom,housekeeper,house-keeper,clever,
ferr-,-nomicon,housekeeping,house-keeping,click,
ferri-,-nomics,housewarming,house-warming,climate,
ferro-,-nomy,housewife,house-wife,climb,
ferroso-,-'nt,housework,house-work,clip,
feto-,-n't,hovercraft,hover-craft,clock,
fibro-,-nym,however,how-ever,close,
fibromato-,-nymy,huckleberry,huckle-berry,closet,
Fil-,-o,humankind,human-kind,cloth,
Finno-,-oan,humbug,hum-bug,cloud,
Fitz-,-oate,humdrum,hum-drum,cloudy,
flexi-,-ock,hummingbird,humming-bird,clown,
flexo-,-ocracy,humpback,hump-back,club,
fluo-,-ocratic,hunchback,hunch-back,clubhouse,
fluor-,-odd,iceberg,ice-berg,coach,
fluoro-,-ode,icefish,ice-fish,coal,
fluvio-,-odont,inchworm,inch-worm,coast,
foeto-,-odontia,income,in-come,coat,
for-,-odynia,indoor,in-door,cob,
fore-,-oecious,indoors,in-doors,cobweb,
form-,-off,inkblot,ink-blot,cocktail,
formo-,-oh,inland,in-land,cocoa,
forth-,-oholic,inlet,in-let,coconut,
fos-,-oi,inmate,in-mate,coffee,
franco-,-oic,inside,in-side,coin,
Franco-,-oid,instep,in-step,cold,
franken-,-ol,into,in-to,collar,
Franken-,-ola,inward,in-ward,collect,
fronto-,-ole,itself,it-self,collection,
fructo-,-ologist,jackfruit,jack-fruit,collector,
fungi-,-ology,jackknife,jack-knife,college,
gab-,-olol,jackpot,jack-pot,color,
gain-,-olone,jawbone,jaw-bone,colorful,
galacto-,-oma,jawbreaker,jaw-breaker,colt,
Gallo-,-o-matic,jaybird,jay-bird,column,
galvano-,-ome,jaywalker,jay-walker,comb,
gameto-,-ometer,jellybean,jelly-bean,come,
gamo-,-ometry,jellyfish,jelly-fish,comfort,
ganglio-,-omics,jigsaw,jigsaw,comfortable,
gastr-,-on,jitterbug,jitter-bug,comic,
gastro-,-one,joystick,joy-stick,comma,
gelatino-,-onidine,jumpsuit,jump-suit,command,
genio-,-onium,keepsake,keep-sake,commercial,
genito-,-onomics,kettledrum,kettle-drum,company,
geno-,-onomy,keyboard,key-board,complete,
geo-,-onym,keyhole,key-hole,computer,
geop-,-onymy,keystone,key-stone,concrete,
Georgio-,-oomer,keyword,key-word,conductor,
Germano-,-oon,kickoff,kick-off,cone,
germano-,-opamine,killjoy,kill-joy,connect,
gero-,-ophilic,kindhearted,kind-hearted,contest,
geronto-,-opia,knapsack,knap-sack,continue,
gest-,-opoly,kneecap,knee-cap,control,
gibi-,-opsia,knighthood,knight-hood,cook,
giga-,-opsy,knockout,knock-out,cookie,
giganto-,-or,ladybird,lady-bird,cooky,
gingivo-,-o-rama,ladybug,lady-bug,cool,
glaci-,-orama,lakebed,lake-bed,copy,
glacio-,-orium,lakeside,lake-side,cord,
gli-,-orphan,landfall,land-fall,cork,
glio-,-orphine,landform,land-form,corn,
glomerulo-,-orphone,landlord,land-lord,corner,
gloss-,-ory,landmark,land-mark,cornmeal,
glosso-,-os,landowner,land-owner,correct,
glott-,-ose,landslide,land-slide,cost,
glotto-,-osin,larkspur,lark-spur,cosy,
gluco-,-osis,laughingstock,laugh-ing-stock,cottage,
glucurono-,-osity,lawnmower,lawn-mower,cotton,
gluta-,-ostomy,lawsuit,law-suit,couch,
glutar-,-oth,layover,lay-over,cough,
gly-,-otic,leapfrog,leap-frog,could,
glycero-,-otomy,leftover,left-over,couldn't,
glyco-,-our,letdown,let-down,count,
gnatho-,-ous,levelheaded,level-headed,counter,
god-,-out-law,lifeboat,life-boat,country,
gon-,-ov,lifeguard,life-guard,course,
gonio-,-oxacin,lifelong,life-long,court,
gono-,-oxanide,lifespan,life-span,cousin,
Graeco-,-oxepin,lifestyle,life-style,cover,
Gr�co-,-oxetine,lifetime,life-time,cow,
grammatico-,-oxifene,liftoff,lift-off,coward,
grand-,-oxy,lightheaded,light-headed,cowboy,
granulomato-,-oyl,lighthearted,light-hearted,cozy,
grapho-,-pagus,lighthouse,light-house,crab,
gravi-,-palooza,lightweight,light-weight,crack,
gravito-,-pamil,limelight,lime-light,cracker,
gravo-,-pants,limestone,lime-stone,cradle,
great-,-parin,linebacker,line-backer,cranberry,
Greco-,-parinux,lineman,line-man,crank,
guan-,-parous,lineup,line-up,crash,
Guiano-,-partite,lionheart,lion-heart,crawl,
gymno-,-path,lipstick,lip-stick,crayon,
gyn-,-pathic,litterbug,litter-bug,crazy,
gyn�c-,-pathy,livestock,live-stock,cream,
gynaeco-,-pause,locksmith,lock-smith,creature,
gyn�co-,-ped,loggerhead,logger-head,creek,
gyne-,-pedia,logjam,log-jam,crib,
gyneco-,-penia,longhair,long-hair,cricket,
gyno-,-people,longhand,long-hand,crime,
gyro-,-peridol,longshoreman,long-shoreman,cripple,
hadeo-,-peridone,lookout,look-out,crisp,
hadro-,-perone,loophole,loophole,croak,
haem-,-person,lopsided,lop-sided,crook,
h�m-,-persons,loudmouth,loud-mouth,crop,
haema-,-petal,lovesick,love-sick,cross,
haemangio-,-pexy,lowbrow,low-brow,crosswalk,
haemat-,-phage,lowland,low-land,crossways,
h�mat-,-phagia,lowlife,low-life,crow,
haemato-,-phagic,lukewarm,luke-warm,crowd,
h�mato-,-phagous,lumberjack,lumber-jack,crown,
haemo-,-phagy,lunchroom,lunch-room,cruel,
h�mo-,-phalangia,lungfish,lung-fish,crumb,
hagio-,-phalangy,mailbox,mail-box,crumble,
half-,-phany,mailman,mail-man,crush,
halo-,-phasia,mainframe,main-frame,crust,
haplo-,-phemia,mainland,main-land,crutch,
hapto-,-phil,mainstream,main-stream,cry,
HDMS,-phile,makeover,make-over,cub,
he-,-philia,makeshift,make-shift,cup,
hebe-,-philiac,makeup,make-up,cupboard,
Hebra-,-philic,manhole,man-hole,cupful,
hecato-,-philous,manhunt,man-hunt,cure,
hect-,-phily,mankind,man-kind,curl,
hecto-,-phobe,manpower,man-power,curly,
hectokilo-,-phobia,marketplace,market-place,curtain,
heli-,-phobiac,marksman,marks-man,curve,
helico-,-phobic,mastermind,master-mind,cushion,
helio-,-phone,masterpiece,master-piece,customer,
hella-,-phonia,matchbook,match-book,cute,
Helleno-,-phonic,matchmaker,match-maker,daddy,
Helveto-,-phony,matchmaking,match-making,dady-long-legs,
hem-,-phor,maybe,may-be,daily,
hemangio-,-phore,mayflower,may-flower,dairy,
hemat-,-phoresis,mealtime,meal-time,daisy,
hemato-,-phrenia,meanwhile,mean-while,dam,
hemi-,-phyl,meatball,meat-ball,damage,
hemo-,-phyll,meatloaf,meat-loaf,damp,
hendeca-,-phyllous,merry-middleman,merry-middle-man,dance,
heort-,-physis,midshipman,mid-ship-man,dandy,
hepat-,-phyte,milestone,mile-stone,danger,
hepatico-,-pidem,milkshake,milk-shake,dangerous,
hepato-,-pilled,mockingbird,mocking-bird,dare,
hept-,-pine,mockup,mock-up,dark,
hepta-,-piprazole,moonbeam,moon-beam,darkness,
heptadeca-,-pitant,moonlight,moon-light,darling,
heptakis-,-plasia,moonstruck,moon-struck,dart,
Hercego-,-plast,moreover,more-over,dash,
hermeo-,-plasty,motorboat,motor-boat,date,
hermo-,-platin,motorcycle,motor-cycle,daughter,
herpet-,-ple,mousetrap,mouse-trap,dawn,
herpeto-,-plegia,mouthpiece,mouth-piece,day,
Herzego-,-plegic,mouthwatering,mouth-watering,daylight,
hetero-,-plex,muskrat,musk-rat,daytime,
hex-,-plinerved,myself,myself,dead,
hexa-,-ploid,namesake,name-sake,deaf,
hexadeca-,-plon,nearsighted,near-sighted,deal,
hexahedro-,-pnea,necklace,neck-lace,dear,
hexakis-,-pnoea,neckline,neck-line,death,
hexaprismo-,-pocalypse,necktie,neck-tie,decide,
Hiberno-,-pod,needlepoint,needle-point,deck,
hiero-,-poeia,needlework,needle-work,deep,
Himalo-,-p�ia,network,net-work,deer,
hipp-,-poiesis,nevertheless,never-the-less,defend,
hippo-,-polis,newborn,new-born,delighted,
Hispano-,-polises,newcomer,new-comer,deliver,
hispano-,-poly,newsletter,news-letter,delivery,
hist-,-poo,newspaper,news-paper,den,
histi-,-poride,newsstand,news-stand,dentist,
histio-,-post,newsworthy,news-worthy,depend,
histo-,-pramine,nightfall,night-fall,deposit,
historico-,-prazole,nightgown,night-gown,describe,
historio-,-prenaline,nightmare,night-mare,desert,
HNLMS,-preneur,nightstand,night-stand,design,
HNMS,-previr,nighttime,night-time,desire,
hodo-,-pride,nitwit,nit-wit,desk,
hol-,-pril,nobleman,noble-man,destroy,
holo-,-prilat,nobody,no-body,detective,
home-,-prim,northeast,north-east,detergent,
homeo-,-pristin,northwest,north-west,devil,
homo-,-profen,nosebleed,nose-bleed,dew,
homoe-,-prone,nosedive,nose-dive,dial,
hom�-,-proof,notebook,note-book,diamond,
homoeo-,-prost,noteworthy,note-worthy,dice,
hom�o-,-prostil,nothing,no-thing,dictionary,
homoi-,-pter,nowhere,no-where,did,
homoio-,-pteran,nutshell,nut-shell,didn't,
hopl-,-pterous,oatmeal,oat-meal,die,
hoplo-,-ptile,offline,off-line,diet,
horo-,-punk,offshoot,off-shoot,difference,
humero-,-quinil,offshore,off-shore,differences,
Hungaro-,-racil,offside,off-side,difficult,
Hurro-,-rama,offspring,off-spring,difficulty,
hyalo-,-rd,oilcan,oil-can,dig,
hydr-,-rds,oncoming,on-coming,dim,
hydro-,-red,oneself,one-self,dime,
hydroxy-,-rel,ongoing,on-going,dimple,
hyeto-,-relin,online,on-line,dine,
hygr-,-ren,onlooker,on-looker,ding-dong,
hygro-,-renone,onrush,on-rush,dinner,
hyl-,-reotide,onset,on-set,dinosaur,
hylo-,-ress,onto,onto,dip,
hyo-,-retin,onward,on-ward,direct,
hyp-,-ribine,openhanded,open-handed,direction,
hyper-,-ric,otherwise,other-wise,dirt,
hypho-,-rices,ourselves,our-selves,dirty,
hypn-,-ridden,outbid,out-bid,disagree,
hypno-,-riffic,outbreak,out-break,disappear,
hypo-,-rific,outburst,out-burst,discover,
hypothalamo-,-rinone,outcast,out-cast,disease,
hyps-,-ritide,outcome,out-come,disgrace,
hypsi-,-rix,outcrop,out-crop,disgraceful,
hypso-,-rolimus,outcry,out-cry,dish,
hyster-,-rozole,outdated,out-dated,dismiss,
hystero-,-rrhagia,outdo,out-do,distance,
i-,-rrhaphy,outdoor,out-door,ditch,
iatro-,-rrhea,outdoors,out-doors-man,dive,
Ibero-,-rrhexis,outdoorsman,out-field,divide,
ichn-,-rrhoea,outfield,out-fit,do,
ichno-,-rrh�a,outfit,out-flow,dock,
ichthy-,-rubicin,outflow,out-fox,doctor,
ichthyo-,R Us,outfox,out-gas,dodge,
icono-,-ry,outgas,out-going,does,
icosa-,'s,outgoing,out-grow,doesn't,
icosi-,-'s,outgrow,out-house,dog,
ictero-,-s,outhouse,out-last,doll,
ideo-,-safe,outlast,out-law,dollar,
idio-,-sal,outlaw,out-lay,dolly,
ile-,-salan,outlay,out-let,don't,
ileo-,-salazide,outlet,out-line,done,
ilio-,-salazine,outline,out-live,donkey,
Illyro-,-sama,outlive,out-look,door,
im-,-san,outlook,out-lying,doorstep,
imid-,-sartan,outlying,out-number,dope,
imido-,-sauce,outnumber,out-post,dot,
immuno-,-saur,outpost,out-put,double,
in-,-saurus,output,out-rage,dove,
incudo-,-scape,outrage,out-rank,down,
Indo-,-scope,outrank,out-run,downstairs,
Indonesio-,-scopic,outrun,out-shine,downtown,
infero-,-scopy,outshine,out-side,downward,
info-,-se,outside,out-sider,downwards,
infra-,-self,outsider,out-skirt,dozen,
infundibulo-,-selves,outskirt,out-smart,drag,
inguino-,-semide,outsmart,out-source,dragon,
insta-,-serod,outsource,out-spoken,drain,
integro-,-serpine,outspoken,out-standing,drank,
inter-,-ses,outstanding,out-stand-ing,draw,
intestino-,-setron,outstay,out-stay,dream,
intra-,-sexual,outstretch,out-stretch,dress,
intro-,-ship,outtake,out-take,drew,
Inver-,-shire,outward,out-ward,drill,
io-,-sicle,overabundant,over-abundant,drink,
iod-,-side,overachiever,over-achiever,drip,
iodo-,-sie,overact,over-act,drive,
iono-,-sies,overactive,over-active,driveway,
ipsi-,-sion,overage,over-age,drop,
Irano-,-sis,overall,over-all,drove,
iri-,-ski,overalls,over-alls,drown,
irid-,-sky,overarching,over-arching,drowsy,
iridico-,-soft,overbearing,over-bearing,drug,
iridio-,-sol,overbite,over-bite,drugstore,
irido-,-some,overblown,over-blown,drum,
iris-,-something,overboard,over-board,drunk,
is-,-son,overbook,over-book,dry,
ischio-,-sona,overburden,over-burden,duck,
Islamo-,-sophy,overcast,over-cast,duckling,
iso-,-speak,overcharge,over-charge,due,
isoindol-,-spect,overcoat,over-coat,dug,
isthm-,-sphere,overcome,over-come,dull,
isthmo-,-spirone,overcompensate,over-compensate,dumb,
Istro-,-splain,overcook,over-cook,dump,
Italo-,-sploitation,overcrowd,over-crowd,during,
italo-,-spo,overdo,over-do,dust,
J-,-sson,overdose,over-dose,dusty,
Japano-,-'st,overdraft,over-draft,dying,
jejuno-,-st,overdress,over-dress,each,
Judaeo-,-stan,overdrive,over-drive,eager,
Jud�o-,-Stan,overdue,over-due,eagle,
Judeo-,-stasis,overeager,over-eager,ear,
Jugo-,-stat,overeat,over-eat,earache,
jugulo-,-static,overexpose,over-expose,eardrum,
juridico-,-statin,overfill,over-fill,early,
juxta-,-stein,overflow,over-flow,earn,
K-,-steine,overfull,over-full,earnings,
k-,-step,overgrown,over-grown,earth,
ka-,-ster,overhand,over-hand,earthquake,
Karelo-,-steride,overhang,over-hang,east,
Kartvelo-,-sterone,overhaul,over-haul,eastern,
kary-,-stigmine,overhead,over-head,easy,
karyo-,-stock,overhear,over-hear,eat,
Kazaco-,-stome,overheat,over-heat,eaten,
Kenio-,-stomy,overkill,over-kill,edge,
ker-,-stress,overland,over-land,education,
kerat-,-strophy,overlap,over-lap,egg,
kerato-,-style,overlay,over-lay,eight,
kerauno-,-styly,overload,over-load,eighteen,
keto-,-sy,overlook,over-look,eighth,
kibi-,-t,overlord,over-lord,eighty,
kilo-,-tacular,overlying,over-lying,either,
kine-,-tadine,overnight,over-night,el,
kinesi-,-tainment,overpack,over-pack,elastic,
kineto-,-tant,overpaid,over-paid,elbow,
klado-,-tard,overpass,over-pass,election,
klepto-,-tastic,overpay,over-pay,electric,
koilo-,-taxel,overpower,over-power,electricity,
konio-,-teen,overrate,over-rate,elephant,
Kurdo-,-tegravir,overreach,over-reach,elevator,
kymo-,-tely,overreact,over-react,eleven,
Kyrgyzo-,-tene,override,over-ride,elm,
La-,-tepine,overrule,over-rule,else,
labio-,-teplase,overrun,over-run,empty,
Lacono-,-terenol,overseas,over-seas,encyclopedia,
lact-,-terol,oversee,over-see,end,
lacto-,-terone,overshoe,over-shoe,endless,
laevo-,-th,oversight,over-sight,enemy,
l�vo-,-therm,oversleep,over-sleep,engine,
Lal.,-thermal,overstate,over-state,engineer,
lamino-,-thermic,overstretch,over-stretch,english,
laparo-,-thermy,overtake,over-take,enjoy,
laryng-,-thiazide,overtax,over-tax,enjoyment,
laryngo-,-thiouracil,overthrow,over-throw,enough,
latero-,-thon,overtime,over-time,enter,
Latino-,-thrin,overturn,over-turn,envelope,
Lebano-,-tiazem,overuse,over-use,equal,
lepido-,-tic,overvalue,over-value,equator,
lepro-,-tide,overview,over-view,erase,
lept-,-tidine,overweight,over-weight,errand,
lepto-,-time,overwork,over-work,error,
Letto-,-tinib,oxbow,ox-bow,escape,
leuc-,-tion,pancake,pan-cake,evaporate,
leuco-,-tirelin,panhandle,pan-handle,even,
leuk-,-tive,paperback,paper-back,evening,
leuko-,-tizide,paperweight,paper-weight,ever,
lev-,-tizolam,paperwork,paper-work,everlasting,
levo-,-to-be,parkway,park-way,every,
lexi-,-toin,passageway,passage-way,everybody,
lexico-,-Tok,passbook,pass-book,everyday,
libro-,-tome,passerby,passer-by,everyone,
Libyco-,-tomy,passionflower,passion-flower,everything,
lieno-,-ton,passionfruit,passion-fruit,everywhere,
lign-,-tope,passkey,pass-key,evil,
ligno-,-topia,passport,pass-port,exactly,
limn-,-topic,password,pass-word,example,
limno-,-topy,pastureland,pasture-land,excellent,
linguo-,-tort,patchwork,patch-work,except,
lip-,-tous,pathfinder,path-finder,exchange,
lipo-,-trakinra,pathway,path-way,excited,
lith-,-traline,pawnbroker,pawn-broker,exciting,
lithio-,-treme,payback,pay-back,excuse,
litho-,-trexate,payroll,pay-roll,exercise,
Litto-,-trigine,peacekeeper,peace-keeper,exit,
logico-,-trix,peacemaker,peace-maker,expect,
logo-,-tron,peanut,pea-nut,experiment,
lopho-,-trope,penknife,pen-knife,explain,
ludo-,-troph,peppercorn,pepper-corn,explode,
lumbo-,-trophic,peppermint,pepper-mint,explore,
luni-,-trophism,pickax,pick-ax,explosive,
Lusitano-,-trophy,pickpocket,pick-pocket,express,
Luso-,-tropia,piecrust,pie-crust,expressway,
luso-,-tropic,pigeonhole,pigeon-hole,extinguisher,
luteo-,-tropin,piggyback,piggy-back,extra,
ly-,-tropism,pigpen,pig-pen,eye,
lyc-,-tropy,pigskin,pig-skin,eyeball,
lyco-,-Tube,pigsty,pig-sty,eyebrow,
lymph-,-tude,pigtail,pig-tail,eyeglass,
lympho-,-tuple,pillbox,pill-box,eyelash,
lyo-,-ture,pillowcase,pillow-case,eyelid,
lyso-,-twt,pincushion,pin-cushion,eyesight,
m-,-ty,pineapple,pine-apple,fable,
Mac-,-type,pinpoint,pin-point,face,
Macedo-,-ual,pinprick,pin-prick,fact,
macr-,-uide,pinup,pin-up,factory,
macro-,-ule,pinwheel,pin-wheel,fade,
mag-,-um,pipefish,pipe-fish,fail,
magico-,-umab,pipeline,pipe-line,failure,
magnesio-,-uous,pitchfork,pitch-fork,faint,
magnet-,-ure,plainclothes,plain-clothes,fair,
magneto-,-uret,playground,play-ground,fairy,
magni-,-uretic,playpen,play-pen,fairyland,
mal-,-urgy,plaything,play-thing,faith,
malaco-,-uria,plywood,ply-wood,fake,
malario-,-vac,pocketbook,pocket-book,fall,
Malayo-,-valent,pocketknife,pocket-knife,false,
Malaysio-,-vaptan,polecat,pole-cat,family,
male-,-vastatin,polestar,pole-star,fan,
malto-,-ve,policeman,police-man,fancy,
mamm-,-verine,policewoman,police-woman,far,
mammo-,-verse,popcorn,pop-corn,far-off,
mandibulo-,-ville,popover,pop-over,faraway,
mangan-,-vir,postcard,post-card,fare,
mangani-,-virine,postmark,post-mark,farm,
mangano-,-viroc,postmaster,post-master,farmer,
manno-,-virsen,potholder,pot-holder,farther,
mar-,-vore,pothole,pot-hole,fashion,
masso-,-vorous,potluck,pot-luck,fast,
mast-,-vudine,potpie,pot-pie,fasten,
masto-,-wad,powerboat,power-boat,fat,
materno-,-ward,powerhouse,power-house,father,
mathematico-,-wards,praiseworthy,praise-worthy,fault,
matr-,-ware,primrose,prim-rose,favor,
matri-,-wash,printout,print-out,favorite,
maxi-,-wave,proofread,proof-read,fear,
maxillo-,-way,pullover,pull-over,feast,
Mc-,-ways,purebred,pure-bred,feather,
meato-,-wear,pushcart,push-cart,fed,
mebi-,-wich,pushover,push-over,feed,
mechano-,-wick,quarterback,quarter-back,feel,
meco-,-wide,quartermaster,quarter-master,feet,
medico-,-wise,quickfire,quick-fire,fell,
medio-,-witz,quicksand,quick-sand,fellow,
Medo-,-woman,quicksilver,quick-silver,felt,
meg-,-women,racecar,race-car,female,
mega-,-work,racecourse,race-course,fence,
megal-,-worth,racehorse,race-horse,fern,
megalo-,-worthy,racetrack,race-track,festival,
mela-,-x,raceway,race-way,fever,
melano-,-X,railroad,rail-road,few,
melo-,-xaban,railway,rail-way,fib,
membrano-,-xeny,rainbow,rain-bow,fiddle,
meningo-,-ximab,raincoat,rain-coat,field,
meno-,-xor,raindrop,rain-drop,fifteen,
mento-,-y,rainfall,rain-fall,fifth,
mer-,-yer,rainout,rain-out,fifty,
mercapto-,-yl,rainstorm,rain-storm,fig,
mercurico-,-ylene,rattlesnake,rattle-snake,fight,
mero-,-ylidene,redcoat,red-coat,figure,
mes-,-yne,redhead,red-head,file,
mesio-,-z,redwood,red-wood,fill,
meso-,-zepine,reindeer,rein-deer,film,
met-,-zilla,ringleader,ring-leader,final,
meta-,-zoan,ringside,ring-side,finally,
metacarp-,-zoic,ringworm,ring-worm,find,
metacarpo-,-zolac,ripsaw,rip-saw,fine,
metallo-,-zoon,riverbed,river-bed,finger,
metatars-,-zumab,riverside,river-side,fingernail,
metatarso-,-zygous,roadbed,road-bed,fingerprint,
meteoro-,-zza,roadrunner,road-runner,fingertip,
meth-, ,roadside,road-side,finish,
metho-,,roadway,road-way,fire,
methoxy-,,rockfish,rock-fish,firefly,
methyl-,,rockhound,rock-hound,fireplace,
metr-,,rockslide,rock-slide,fireproof,
metro-,,roommate,room-mate,fireworks,
micr-,,rosebud,rose-bud,first,
micro-,,rosemary,rose-mary,fish,
micromicro-,,roughhouse,rough-house,fist,
micto-,,roughneck,rough-neck,fit,
mid-,,roundup,round-up,five,
milli-,,rowboat,row-boat,fix,
millimicro-,,runaway,run-away,fizz,
millimilli-,,runoff,run-off,flag,
mini-,,runway,run-way,flame,
mis-,,safeguard,safe-guard,flap,
miso-,,sailboat,sail-boat,flare,
mit-,,sailfish,sail-fish,flash,
mito-,,salesman,sales-man,flashlight,
mnemo-,,saleswoman,sales-woman,flat,
mon-,,saltshaker,salt-shaker,flavor,
Mongolo-,,saltwater,salt-water,flea,
mono-,,sandbar,sand-bar,flesh,
Moravo-,,sandbox,sand-box,flew,
morpho-,,sandman,sand-man,flies,
moto-,,sandpaper,sand-paper,flight,
muci-,,sandstorm,sand-storm,flip,
muco-,,saucepan,sauce-pan,float,
mucoso-,,sawdust,saw-dust,flock,
multi-,,sawhorse,saw-horse,flood,
musculo-,,sawmill,saw-mill,floor,
musico-,,scarecrow,scare-crow,flour,
my-,,scatterbrain,scatter-brain,flow,
myc-,,schoolhouse,school-house,flu,
myco-,,schoolroom,school-room,flunk,
myel-,,schoolteacher,school-teacher,flute,
myelo-,,scrapbook,scrap-book,fly,
mylo-,,screwdriver,screw-driver,foam,
myo-,,seabed,sea-bed,fog,
myria-,,seabird,sea-bird,foggy,
myring-,,seaboard,sea-board,fold,
myringo-,,seacoast,sea-coast,folks,
myrio-,,seafarer,sea-farer,follow,
myrmeco-,,seafood,sea-food,fond,
myso-,,seagoing,sea-going,food,
mytho-,,seagrass,sea-grass,fool,
myxo-,,seagull,sea-gull,foolish,
n-,,seahorse,sea-horse,foot,
N-,,seaplane,sea-plane,football,
nab-,,searchlight,search-light,footpath,
nal-,,seashell,sea-shell,footprint,
nano-,,seashore,sea-shore,footsteps,
naphtho-,,seasick,sea-sick,for,
narco-,,seaside,sea-side,force,
naso-,,seawall,sea-wall,forehead,
natr-,,seaway,sea-way,forest,
natro-,,seaweed,sea-weed,forever,
necro-,,seaworthy,sea-worthy,forget,
nega-,,secondhand,second-hand,forgetful,
nemat-,,seedpod,seed-pod,forgot,
nemato-,,setback,set-back,forgotten,
neo-,,sheepdog,sheep-dog,fork,
nepho-,,shellfish,shell-fish,form,
nephr-,,shipmate,ship-mate,fort,
nephro-,,shipshape,ship-shape,fortune,
nervo-,,shipwreck,ship-wreck,forty,
nether-,,shipyard,ship-yard,forward,
neur-,,shoehorn,shoe-horn,fought,
neuro-,,shoelace,shoe-lace,found,
neutro-,,shopkeeper,shop-keeper,fountain,
nevo-,,shoreline,shore-line,four,
new-,,shortbread,short-bread,fourteen,
nido-,,shortcake,short-cake,fourth,
nifur-,,shorthand,short-hand,fox,
Nigerio-,,shortstop,short-stop,frame,
nil-,,showman,show-man,freckles,
Nilo-,,showmanship,show-man-ship,free,
Niloto-,,showoff,show-off,freedom,
Nippo-,,shuffleboard,shuffle-board,freeze,
nitr-,,shutdown,shut-down,freight,
nitro-,,shuteye,shut-eye,fresh,
NN,,sideboard,side-board,friend,
nom-,,sidecar,side-car,friendship,
nomino-,,sidekick,side-kick,frighten,
nomo-,,sideline,side-line,frog,
non-,,sidestep,side-step,from,
nona-,,sidestroke,side-stroke,front,
nonadeca-,,sideswipe,side-swipe,frost,
nor-,,sidetrack,side-track,frown,
Normanno-,,sidewalk,side-walk,froze,
normo-,,sideways,side-ways,fruit,
Norvego-,,sightseeing,sight-seeing,fry,
noso-,,sightseer,sight-seer,fudge,
notho-,,signpost,sign-post,fuel,
noto-,,silkworm,silk-worm,full,
nucleo-,,silverware,silver-ware,fun,
numero-,,singsong,sing-song,funny,
nyct-,,skateboard,skate-board,fur,
nycto-,,skylight,sky-light,furniture,
nympho-,,skyline,sky-line,further,
O',,skyrocket,sky-rocket,gallon,
o-,,skyscraper,sky-scraper,gallop,
ob-,,skywriting,sky-writing,gamble,
occipit-,,slapstick,slap-stick,game,
occipito-,,slaughterhouse,slaughter-house,gang,
ochl-,,sledgehammer,sledge-hammer,gangster,
ochlo-,,sleepover,sleep-over,garage,
oct-,,sleepwalker,sleep-walker,garbage,
octa-,,sleepyhead,sleepy-head,garden,
octadeca-,,slingshot,sling-shot,gargle,
octakis-,,slipcover,slip-cover,gas,
octo-,,slipknot,slip-knot,gasoline,
oculo-,,slipshod,slip-shod,gate,
odo-,,smallpox,small-pox,gather,
odonto-,,smokestack,smoke-stack,gauge,
oeno-,,snapdragon,snap-dragon,gave,
�no-,,snapshot,snap-shot,gay,
oesophag-,,snowball,snow-ball,geese,
oesophago-,,snowboard,snow-board,general,
Of-,,snowbound,snow-bound,gentle,
off-,,snowdrift,snow-drift,gentleman,
oleo-,,snowdrop,snow-drop,gentlemen,
olfacto-,,snowfall,snow-fall,geography,
olig-,,snowflake,snow-flake,get,
oligo-,,snowman,snow-man,ghost,
olivo-,,snowplow,snow-plow,giant,
ombro-,,snowshoe,snow-shoe,gift,
omento-,,snowstorm,snow-storm,giggle,
omni-,,soapstone,soap-stone,gill,
omo-,,softball,soft-ball,giraffe,
omphal-,,software,soft-ware,girl,
omphalo-,,somebody,some-body,give,
on-,,someday,some-day,glad,
onco-,,somehow,some-how,gladness,
oneir-,,someone,some-one,glance,
oneiro-,,someplace,some-place,glare,
onomato-,,something,some-thing,glass,
onto-,,sometime,some-time,glassware,
onych-,,somewhat,some-what,glide,
onycho-,,somewhere,some-where,globe,
oo-,,songbird,song-bird,glory,
o�-,,soundproof,sound-proof,glove,
ophid-,,soundtrack,sound-track,glow,
ophio-,,southeast,south-east,glue,
ophthalmo-,,southwest,south-west,goal,
opistho-,,soybean,soy-bean,goat,
opsono-,,spacecraft,space-craft,gobble,
opto-,,spaceship,space-ship,godmother,
or-,,spacesuit,space-suit,gold,
orbito-,,spareribs,spare-ribs,golden,
organo-,,speakeasy,speakeasy,goldfish,
